atomic_number, symbol    , name          , atomic_radius, metallic_radius, csd_covalent_radius, vasppot_paw, vasppot_gw , elmt_color        , valence_elec         , num_valence_elec
108          , Hs        , Hassium       , None         , 118            , None               , None       , GW         , gray              , 6p6-6d6-7s2          , 14 
109          , Mt        , Meitnerium    , None         , None           , None               , None       , GW         , gray              , 6p6-6d7-7s2          , 15 
110          , Ds        , Darmstadtium  , None         , None           , None               , None       , GW         , gray              , 6p6-6d8-7s2          , 16
111          , Rg        , Roentgenium   , None         , None           , None               , None       , GW         , gray              , 6p6-6d9-7s2          , 17
112          , Cn        , Copernicium   , None         , None           , None               , None       , GW         , gray              , 6p6-6d9-7s2          , 18 
113          , Nh        , Nihonium      , None         , None           , None               , None       , GW         , gray              , None                 , None
114          , Fl        , Flerovium     , None         , None           , None               , None       , GW         , gray              , None                 , None
115          , Mc        , Moscovium     , None         , None           , None               , None       , GW         , gray              , None                 , None
116          , Lv        , Livermorium   , None         , None           , None               , None       , GW         , gray              , None                 , None
117          , Ts        , Tennessine    , None         , None           , None               , None       , GW         , gray              , None                 , None
118          , Og        , Oganesson     , None         , None           , None               , None       , GW         , gray              , None                 , None
